purpose,mode,no_auto,auto_deficient,auto_sufficient,total
hbw,walk,0.332059724,0.017828291,0.025091737,0.029443751
hbw,bike,0.070859067,0.023168788,0.017101791,0.018014869
hbw,car,0.112190081,0.556226019,0.793161957,0.774956423
hbw,sr2,0.088674587,0.084395247,0.094337988,0.094060745
hbw,sr3p,0.007909652,0.012909066,0.057896332,0.055750079
hbw,walk_transit,0.37154279,0.222204612,0.005673215,0.018603778
hbw,drive_transit,0.016764099,0.083267978,0.00673698,0.009170356
hbo,walk,0.413573971,0.125325981,0.091030916,0.096481893
hbo,bike,0.143448144,0.038735204,0.017060704,0.019258836
hbo,car,0.039797402,0.390936349,0.311803381,0.308356424
hbo,sr2,0.192021482,0.130999612,0.228681515,0.227098945
hbo,sr3p,0.041404489,0.162135167,0.349321396,0.342863636
hbo,walk_transit,0.163253826,0.125696313,0.001432889,0.004950379
hbo,drive_transit,0.006500687,0.026171373,0.000669199,0.000989886
hbc,walk,0.21173185,0.119314385,0.132917068,0.136280276
hbc,bike,0.189079597,0,0.041871383,0.047996799
hbc,car,0.069230978,0.063380796,0.542453855,0.483193019
hbc,sr2,0.088801825,0,0.120303647,0.109753576
hbc,sr3p,0,0,0.067386414,0.059036221
hbc,walk_transit,0.405087316,0.546535848,0.054230081,0.106710999
hbc,drive_transit,0.036068434,0.270768971,0.040837553,0.057029111
nhb,walk,0.281979865,0.074228705,0.05484931,0.057678754
nhb,bike,0.073578351,0.025029518,0.006382681,0.007418042
nhb,car,0.147224829,0.622308773,0.403497502,0.404718412
nhb,sr2,0.16985562,0.107936563,0.234773148,0.231886522
nhb,sr3p,0.111596996,0.085444566,0.298367409,0.292922533
nhb,walk_transit,0.203482571,0.078439441,0.001881192,0.004915465
nhb,drive_transit,0.012281768,0.006612434,0.000248759,0.000460271
total,walk,0.363885661,0.073905029,0.069729524,0.074159155
total,bike,0.11798137,0.028722648,0.014523351,0.016235223
total,car,0.075463557,0.490968356,0.426398788,0.42235543
total,sr2,0.158730877,0.09994961,0.204727921,0.202358122
total,sr3p,0.042869578,0.079036335,0.279445568,0.272833566
total,walk_transit,0.229790376,0.17177717,0.003003266,0.008906141
total,drive_transit,0.011278581,0.055640852,0.002171581,0.003152364
